,id,createdtime,username,tweets
47,1406205958443855873,2021-06-19 11:03:21,VanFreiheit,"@GoogolCoin It is a great project. I am enthusiastic about participating in this and also supporting, success.

@njelma1
@PolkaSyndicate
@IvanOnTech
@Nti28139945
@Thor85604427

#GOOG #Airdrop #BNB  #BSC  $GOOG"
48,1406173350729244678,2021-06-19 08:53:46,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/tqEzLh4rxW
49,1406120472480301058,2021-06-19 05:23:39,Gambiste1,RT @gd_onli: @GoogolCoin This project has bright future ahead. Excellent usage &amp; apllication. I wish huge success to this amazing project.…
50,1406106817227227136,2021-06-19 04:29:24,gd_onli,"@GoogolCoin This project has bright future ahead. Excellent usage &amp; apllication. I wish huge success to this amazing project. 
@dieuhoahitachi
 
@Qq288V
  
@Myo57282360 

@ngo_tam2016 
@huevnngaynay 

#GOOG #Airdrop #BNB  #BSC  $GOOG"
51,1406096726537084928,2021-06-19 03:49:18,kenathdesilva1,"@GoogolCoin Thank you for making this opportunity. Hopefully this project will be successful.

@DimuthuRuwan13
@SdlDimuthu
@Bodhi_Tree_Yoga
@dhasanka
@Dimuth95055847

#GOOG #Airdrop #BNB #BSC $GOOG"
52,1406093066402811911,2021-06-19 03:34:45,PARKMINGYU15,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
53,1406082761975283720,2021-06-19 02:53:48,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/Riv6krfPhy
54,1406075203231301646,2021-06-19 02:23:46,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/cmkkukgF0D
55,1406051098331435008,2021-06-19 00:47:59,Luciano29204990,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
56,1406033987806674948,2021-06-18 23:40:00,GoSoloAds,"RT @jeremypro110: Do you love in promote your solo ads,MLM to 400millions of real audience.  just click the link

https://t.co/auJaMACV9a…"
57,1406005570906198018,2021-06-18 21:47:05,Jocelyntuvh,"RT @WebullGlobal: Don’t miss the opportunity to own a share of #GOOG, #FB or #SBUX! Open and fund a brokerage account and receive 2 FREE st…"
58,1405997096054972433,2021-06-18 21:13:24,jeremypro110,"RT @jeremypro110: Do you love in promote your solo ads,MLM to 400millions of real audience.  just click the link

https://t.co/auJaMACV9a…"
59,1405997066560720899,2021-06-18 21:13:17,jeremypro110,"Do you love in promote your solo ads,MLM to 400millions of real audience.  just click the link

https://t.co/auJaMACV9a

#ads #advertising #marketing #digitalmarketing #branding #advertisement #business #socialmedia #marketingdigital #design #instagram #socialmediamarketing #Goog https://t.co/i5cavj6CfT"
60,1405984612082352128,2021-06-18 20:23:48,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/jRPLUzlEYd
61,1405980167667949576,2021-06-18 20:06:08,nafham4,"@GoogolCoin Let's practicepate excellent project @binance @_Pandamoonium_ @GiveawayInspect @N_3S_ @dr_radwan20 
#Aridrop #BSC #goog @GoogolCoin"
62,1405977058950451204,2021-06-18 19:53:47,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/WNVD5lUh5r
