,id,createdtime,username,tweets
51,1407004114647715845,2021-06-21 15:54:56,MozimRog,"♥️Excited to see @shoaib100mph entering Crypto World and announcing a great new platform with the collaboration of Crypto Master @ZakaWaqar
Proud to be part of this amazing journey. 🚀
@Cointelegraph @CoinDesk @CNBC
#ShoaibAkhtarInCrypto #waqarzakaprivategroup 
#coindesk #CNBC https://t.co/0DLYp5Xmj7"
52,1407002954486386688,2021-06-21 15:50:19,Genius1545,RT @Malykhassan4: @ZakaWaqar @TenupNation Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out e…
53,1407002847472979969,2021-06-21 15:49:54,Malykhassan4,RT @Malykhassan4: @sharifbaloch123 Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tec…
54,1407002666060943361,2021-06-21 15:49:11,Malykhassan4,RT @Malykhassan4: @p_ti90 Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All c…
55,1407002584959881226,2021-06-21 15:48:51,Malykhassan4,"@p_ti90 Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
56,1407002511005921291,2021-06-21 15:48:34,muddsar65992537,RT @Malykhassan4: @ZakaWaqar @TenupNation Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out e…
57,1407002453845893120,2021-06-21 15:48:20,Malykhassan4,RT @Malykhassan4: @ZakaWaqar @TenupNation Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out e…
58,1407002390432264197,2021-06-21 15:48:05,Malykhassan4,RT @Malykhassan4: @Hassan_Khan_702 Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tec…
59,1407002295582269443,2021-06-21 15:47:42,Malykhassan4,"@ZakaWaqar @TenupNation Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
60,1407001500912652291,2021-06-21 15:44:33,Malykhassan4,"@Hassan_Khan_702 Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
61,1406999346382508039,2021-06-21 15:35:59,Malykhassan4,"@sharifbaloch123 Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
62,1406999117017006080,2021-06-21 15:35:04,Malykhassan4,"@faizana74710013 Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
63,1406998844076875785,2021-06-21 15:33:59,Malykhassan4,"@The_NFT_Hub Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
64,1406998142378299396,2021-06-21 15:31:12,SHAHBAZ0004,"RT @Ghazal37556537: Follow me i will follow back
#shoaibakhtarincrypto 
#ShoaibAkhtarNFT 
#waqarzaka 
#CNBC 
#coindesk 
#Coinbase 
#cointel…"
65,1406998114473492487,2021-06-21 15:31:05,SHAHBAZ0004,RT @ghafoorammar5: #coindesk #cointelegraph #CNBC #shoaibAkhtarincrypto this is very big news regarding crypto in pakistan. #teamtenup is g…
66,1406998077337214984,2021-06-21 15:30:57,Malykhassan4,RT @Malykhassan4: @CNBC Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All cre…
67,1406998059112878083,2021-06-21 15:30:52,Malykhassan4,RT @Malykhassan4: @TenupNation Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech .…
68,1406998050581721094,2021-06-21 15:30:50,Malykhassan4,RT @Malykhassan4: #ShoaibAkhtarNFT Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tec…
69,1406997670313578503,2021-06-21 15:29:20,Malykhassan4,"@TenupNation Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
70,1406997511223533576,2021-06-21 15:28:42,Malykhassan4,"@CNBC Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
71,1406997448271204352,2021-06-21 15:28:27,Malykhassan4,"#ShoaibAkhtarNFT Let's move to the future world with #ShoaibAkhtarNFT . Pakistani are catching up to cutting out edge tech . All credit goes to #TenupNation 
The future is here ! First ever cricket NFT . 
#CNBC #Cointelegraph #coindesk #Crypto . Support Pakistan"
